City,RegionID,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30
Dallas-Fort Worth,394514,9728.0,10996.0,12432.0,13001.0,12841.0,12207.0,10903.0,10023.0,8993.0,7776.0,7798.0,8318.0,10476.0,11742.0,13164.0,13414.0,13112.0,12235.0,11295.0,10484.0,9442.0,8519.0,9601.0,10791.0,12322.0,11416.0,12712.0,13297.0,14737.0,13626.0,12720.0,11500.0,10287.0,9164.0,8655.0,8215.0,9378.0,10315.0,11809.0,12389.0,12935.0,12969.0,11676.0
Houston,394692,9266.0,10500.0,11754.0,11878.0,11618.0,10981.0,9819.0,9129.0,8182.0,7417.0,7520.0,8431.0,10779.0,12480.0,14039.0,14255.0,13769.0,12682.0,11629.0,11084.0,10424.0,9738.0,9818.0,10360.0,11737.0,11093.0,11201.0,11195.0,12602.0,12596.0,12121.0,11484.0,10828.0,9987.0,9682.0,9332.0,10470.0,11290.0,12725.0,13559.0,14045.0,14123.0,12565.0
San Antonio,395055,3205.0,3883.0,4548.0,4634.0,4316.0,3984.0,3503.0,3243.0,2963.0,2730.0,2813.0,2905.0,3550.0,3989.0,4605.0,4689.0,4524.0,4125.0,3792.0,3625.0,3455.0,3508.0,3923.0,4273.0,4559.0,4119.0,4006.0,3892.0,4186.0,4181.0,4166.0,4064.0,3850.0,3538.0,3494.0,3375.0,3864.0,4149.0,4692.0,4899.0,5059.0,5180.0,4675.0
Austin,394355,3248.0,3802.0,4283.0,4282.0,4143.0,3849.0,3441.0,3127.0,2713.0,2345.0,2332.0,2550.0,3320.0,3783.0,4330.0,4414.0,4336.0,4009.0,3663.0,3407.0,3012.0,2563.0,2574.0,2871.0,3618.0,3694.0,3925.0,3893.0,4282.0,4175.0,4061.0,3903.0,3664.0,3472.0,3168.0,3194.0,3523.0,3948.0,4323.0,4579.0,4742.0,4775.0,4258.0
El Paso,394561,979.0,995.0,980.0,971.0,978.0,975.0,936.0,938.0,901.0,804.0,786.0,791.0,919.0,958.0,994.0,1000.0,967.0,1046.0,1061.0,1094.0,931.0,804.0,795.0,862.0,938.0,862.0,850.0,886.0,950.0,1042.0,1001.0,993.0,874.0,826.0,803.0,834.0,882.0,916.0,916.0,971.0,1015.0,1070.0,967.0
McAllen,394843,447.0,418.0,440.0,411.0,424.0,427.0,418.0,419.0,371.0,353.0,344.0,369.0,413.0,432.0,452.0,451.0,440.0,428.0,423.0,418.0,397.0,363.0,385.0,423.0,483.0,435.0,419.0,400.0,434.0,458.0,484.0,522.0,514.0,482.0,447.0,420.0,470.0,527.0,565.0,578.0,564.0,602.0,549.0
Corpus Christi,394502,586.0,635.0,705.0,711.0,713.0,675.0,596.0,546.0,492.0,444.0,480.0,515.0,648.0,685.0,739.0,716.0,694.0,674.0,639.0,607.0,540.0,490.0,496.0,541.0,635.0,607.0,644.0,664.0,730.0,735.0,746.0,751.0,696.0,608.0,597.0,607.0,698.0,750.0,829.0,859.0,867.0,883.0,795.0
Brownsville,394421,51.0,47.0,54.0,54.0,52.0,47.0,47.0,45.0,41.0,34.0,40.0,41.0,49.0,53.0,68.0,74.0,70.0,63.0,58.0,62.0,61.0,62.0,61.0,65.0,72.0,74.0,84.0,98.0,122.0,152.0,191.0,256.0,277.0,279.0,254.0,233.0,243.0,245.0,248.0,223.0,303.0,356.0,388.0
Killeen,394746,731.0,761.0,840.0,847.0,849.0,836.0,757.0,686.0,622.0,611.0,662.0,684.0,794.0,847.0,904.0,885.0,856.0,833.0,754.0,700.0,645.0,623.0,659.0,711.0,826.0,785.0,788.0,749.0,802.0,783.0,751.0,726.0,678.0,640.0,634.0,612.0,724.0,807.0,931.0,976.0,1020.0,1063.0,972.0
Beaumont,394372,77.0,77.0,82.0,90.0,102.0,112.0,102.0,102.0,84.0,81.0,78.0,83.0,110.0,120.0,136.0,126.0,132.0,137.0,138.0,142.0,147.0,151.0,155.0,159.0,172.0,162.0,163.0,184.0,221.0,238.0,268.0,323.0,365.0,352.0,331.0,317.0,360.0,378.0,393.0,447.0,488.0,554.0,509.0
Lubbock,394808,420.0,469.0,512.0,549.0,547.0,531.0,448.0,403.0,351.0,322.0,317.0,336.0,430.0,451.0,498.0,488.0,491.0,457.0,405.0,375.0,333.0,300.0,323.0,349.0,441.0,426.0,453.0,460.0,508.0,497.0,474.0,447.0,415.0,374.0,341.0,352.0,397.0,479.0,556.0,617.0,629.0,625.0,542.0
Waco,395197,303.0,329.0,365.0,397.0,450.0,455.0,425.0,367.0,334.0,288.0,277.0,284.0,336.0,382.0,424.0,466.0,462.0,432.0,383.0,343.0,312.0,280.0,297.0,328.0,385.0,382.0,418.0,417.0,440.0,402.0,377.0,342.0,329.0,293.0,305.0,285.0,336.0,344.0,377.0,413.0,439.0,471.0,420.0
Amarillo,394323,314.0,348.0,403.0,415.0,433.0,397.0,366.0,340.0,314.0,272.0,304.0,323.0,383.0,403.0,433.0,482.0,457.0,456.0,396.0,360.0,324.0,282.0,299.0,306.0,353.0,345.0,377.0,399.0,428.0,421.0,400.0,365.0,324.0,279.0,287.0,296.0,351.0,396.0,441.0,481.0,478.0,476.0,413.0
College Station,394483,57.0,57.0,64.0,69.0,70.0,67.0,56.0,59.0,61.0,52.0,54.0,57.0,75.0,79.0,98.0,113.0,127.0,128.0,124.0,125.0,110.0,96.0,104.0,127.0,174.0,160.0,163.0,150.0,176.0,200.0,260.0,303.0,338.0,324.0,330.0,317.0,365.0,390.0,417.0,390.0,395.0,395.0,361.0
Longview,394803,158.0,170.0,189.0,182.0,192.0,180.0,171.0,169.0,162.0,144.0,139.0,141.0,172.0,184.0,202.0,202.0,204.0,200.0,192.0,185.0,161.0,149.0,137.0,158.0,188.0,193.0,199.0,205.0,221.0,233.0,215.0,211.0,193.0,188.0,170.0,154.0,189.0,230.0,269.0,279.0,286.0,293.0,261.0
Tyler,395174,111.0,126.0,147.0,149.0,144.0,133.0,122.0,125.0,111.0,94.0,75.0,80.0,114.0,150.0,171.0,175.0,167.0,161.0,144.0,134.0,124.0,132.0,145.0,163.0,176.0,176.0,188.0,196.0,206.0,196.0,179.0,163.0,153.0,145.0,140.0,127.0,184.0,250.0,320.0,329.0,338.0,354.0,347.0
Abilene,394299,232.0,259.0,284.0,290.0,288.0,271.0,233.0,211.0,193.0,178.0,185.0,196.0,238.0,251.0,277.0,287.0,290.0,280.0,254.0,235.0,205.0,193.0,234.0,269.0,304.0,270.0,325.0,347.0,377.0,338.0,305.0,269.0,227.0,201.0,189.0,178.0,215.0,262.0,313.0,329.0,333.0,329.0,294.0
Wichita Falls,395223,14.0,16.0,15.0,13.0,11.0,16.0,19.0,19.0,11.0,6.0,5.0,7.0,9.0,11.0,10.0,10.0,13.0,14.0,14.0,13.0,17.0,17.0,17.0,14.0,17.0,15.0,17.0,18.0,24.0,44.0,75.0,110.0,115.0,104.0,81.0,135.0,170.0,219.0,220.0,236.0,255.0,242.0,221.0
Texarkana,395152,17.0,18.0,21.0,26.0,30.0,30.0,27.0,28.0,28.0,26.0,25.0,22.0,24.0,29.0,39.0,45.0,45.0,35.0,31.0,27.0,31.0,31.0,32.0,32.0,38.0,39.0,42.0,47.0,61.0,63.0,64.0,63.0,96.0,95.0,97.0,67.0,80.0,89.0,109.0,121.0,135.0,133.0,137.0
Midland,394860,216.0,231.0,268.0,293.0,312.0,311.0,277.0,249.0,221.0,192.0,195.0,207.0,255.0,280.0,335.0,351.0,358.0,332.0,323.0,309.0,280.0,235.0,230.0,237.0,299.0,292.0,327.0,317.0,354.0,331.0,313.0,281.0,262.0,257.0,276.0,279.0,319.0,326.0,361.0,379.0,388.0,384.0,346.0
Odessa,394930,21.0,22.0,19.0,22.0,22.0,23.0,23.0,27.0,26.0,23.0,16.0,15.0,19.0,25.0,32.0,31.0,28.0,28.0,30.0,37.0,32.0,27.0,29.0,38.0,46.0,43.0,40.0,47.0,62.0,86.0,110.0,136.0,147.0,154.0,148.0,150.0,151.0,166.0,174.0,178.0,172.0,175.0,160.0
Sherman,395094,171.0,196.0,225.0,243.0,240.0,242.0,225.0,223.0,203.0,184.0,176.0,186.0,222.0,241.0,272.0,282.0,294.0,272.0,254.0,243.0,220.0,199.0,217.0,247.0,283.0,257.0,285.0,296.0,336.0,325.0,298.0,256.0,217.0,191.0,193.0,183.0,214.0,230.0,265.0,280.0,294.0,304.0,278.0
San Angelo,395054,21.0,25.0,27.0,29.0,31.0,30.0,25.0,21.0,21.0,20.0,20.0,21.0,27.0,33.0,35.0,38.0,35.0,42.0,40.0,40.0,28.0,28.0,30.0,35.0,38.0,36.0,38.0,36.0,42.0,53.0,84.0,111.0,135.0,135.0,131.0,109.0,115.0,125.0,168.0,184.0,210.0,200.0,179.0
Victoria,395190,93.0,105.0,114.0,117.0,120.0,115.0,109.0,95.0,97.0,99.0,112.0,106.0,105.0,97.0,110.0,116.0,119.0,117.0,113.0,102.0,88.0,87.0,108.0,123.0,135.0,112.0,105.0,105.0,114.0,119.0,101.0,112.0,102.0,99.0,87.0,80.0,93.0,100.0,106.0,122.0,119.0,146.0,130.0
Lufkin,394809,11.0,9.0,15.0,17.0,21.0,21.0,20.0,17.0,11.0,10.0,9.0,13.0,15.0,19.0,19.0,24.0,26.0,29.0,28.0,24.0,21.0,18.0,20.0,20.0,26.0,25.0,28.0,26.0,36.0,40.0,48.0,60.0,66.0,66.0,58.0,55.0,56.0,62.0,66.0,70.0,93.0,101.0,106.0
Huntsville,394699,63.0,78.0,88.0,93.0,86.0,86.0,78.0,71.0,62.0,57.0,64.0,74.0,91.0,95.0,100.0,101.0,107.0,106.0,104.0,105.0,104.0,93.0,86.0,88.0,101.0,96.0,94.0,94.0,114.0,116.0,112.0,99.0,87.0,77.0,62.0,63.0,75.0,101.0,111.0,118.0,117.0,129.0,120.0
Athens,394345,91.0,113.0,124.0,132.0,118.0,119.0,106.0,101.0,84.0,72.0,71.0,79.0,105.0,116.0,119.0,117.0,122.0,131.0,125.0,116.0,100.0,95.0,111.0,139.0,147.0,131.0,142.0,154.0,175.0,164.0,168.0,167.0,154.0,134.0,113.0,99.0,115.0,133.0,165.0,180.0,188.0,195.0,182.0
Marshall,394832,47.0,53.0,54.0,55.0,56.0,55.0,47.0,41.0,40.0,43.0,40.0,39.0,43.0,50.0,60.0,64.0,70.0,70.0,64.0,55.0,48.0,43.0,47.0,50.0,55.0,49.0,54.0,63.0,72.0,68.0,68.0,61.0,59.0,53.0,51.0,46.0,53.0,65.0,76.0,87.0,87.0,88.0,73.0
Nacogdoches,394899,3.0,5.0,7.0,8.0,6.0,5.0,5.0,4.0,5.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,8.0,8.0,11.0,12.0,11.0,10.0,9.0,9.0,10.0,11.0,12.0,15.0,17.0,23.0,29.0,38.0,43.0,44.0,40.0,35.0,33.0,35.0,41.0,58.0,68.0,69.0,60.0
Rio Grande City,395024,4.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,10.0,17.0,16.0,15.0,15.0,18.0,17.0,11.0,12.0,13.0,12.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,13.0,11.0,13.0,12.0,12.0,12.0,13.0
Palestine,394956,8.0,13.0,16.0,19.0,18.0,13.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,12.0,14.0,14.0,13.0,14.0,17.0,19.0,16.0,14.0,12.0,14.0,13.0,10.0,10.0,13.0,20.0,24.0,29.0,31.0,29.0,26.0,23.0,22.0,27.0,29.0,37.0,36.0,46.0,53.0,51.0
Jacksonville,394717,8.0,11.0,13.0,13.0,11.0,11.0,12.0,12.0,9.0,9.0,12.0,14.0,17.0,19.0,23.0,23.0,21.0,21.0,22.0,20.0,19.0,17.0,18.0,16.0,18.0,20.0,21.0,20.0,19.0,18.0,17.0,16.0,16.0,17.0,17.0,17.0,28.0,39.0,49.0,53.0,61.0,69.0,65.0
Paris,394963,28.0,25.0,25.0,30.0,31.0,34.0,37.0,37.0,33.0,22.0,20.0,26.0,31.0,39.0,43.0,44.0,41.0,37.0,41.0,39.0,33.0,24.0,28.0,35.0,43.0,36.0,34.0,31.0,36.0,34.0,41.0,46.0,49.0,43.0,38.0,33.0,36.0,39.0,49.0,56.0,60.0,69.0,70.0
Kerrville,394742,26.0,33.0,38.0,49.0,56.0,70.0,73.0,74.0,66.0,55.0,57.0,63.0,76.0,85.0,86.0,93.0,96.0,98.0,94.0,86.0,78.0,65.0,65.0,73.0,87.0,78.0,77.0,78.0,94.0,90.0,94.0,86.0,86.0,67.0,58.0,53.0,68.0,82.0,86.0,93.0,99.0,109.0,96.0
Del Rio,394527,2.0,5.0,7.0,7.0,5.0,5.0,4.0,3.0,1.0,2.0,4.0,5.0,5.0,6.0,5.0,4.0,3.0,3.0,4.0,6.0,7.0,6.0,5.0,6.0,6.0,7.0,11.0,14.0,22.0,31.0,42.0,46.0,46.0,43.0,43.0,36.0,44.0,39.0,45.0,44.0,50.0,55.0,52.0
Corsicana,394503,37.0,46.0,46.0,46.0,45.0,46.0,48.0,41.0,42.0,37.0,41.0,48.0,47.0,48.0,45.0,55.0,60.0,61.0,55.0,49.0,40.0,37.0,43.0,53.0,55.0,45.0,45.0,52.0,64.0,64.0,62.0,58.0,56.0,50.0,45.0,39.0,42.0,47.0,55.0,58.0,59.0,59.0,56.0
El Campo,394558,32.0,35.0,37.0,40.0,39.0,40.0,36.0,35.0,30.0,27.0,35.0,41.0,45.0,42.0,46.0,49.0,51.0,48.0,46.0,45.0,43.0,42.0,37.0,42.0,48.0,43.0,39.0,35.0,44.0,44.0,44.0,41.0,39.0,33.0,34.0,34.0,39.0,38.0,45.0,52.0,51.0,53.0,47.0
Alice,394316,17.0,19.0,25.0,27.0,27.0,25.0,22.0,21.0,17.0,16.0,17.0,18.0,19.0,19.0,23.0,20.0,20.0,21.0,26.0,27.0,23.0,21.0,20.0,21.0,24.0,22.0,21.0,17.0,19.0,23.0,26.0,24.0,23.0,21.0,22.0,19.0,21.0,21.0,25.0,25.0,28.0,31.0,32.0
Gainesville,394624,47.0,54.0,61.0,64.0,58.0,50.0,44.0,42.0,41.0,34.0,37.0,38.0,44.0,45.0,53.0,54.0,59.0,57.0,59.0,56.0,57.0,60.0,71.0,78.0,81.0,65.0,66.0,64.0,76.0,68.0,60.0,50.0,42.0,35.0,32.0,28.0,34.0,42.0,58.0,86.0,96.0,92.0,69.0
Brownwood,394422,43.0,54.0,60.0,61.0,58.0,56.0,51.0,41.0,43.0,38.0,47.0,40.0,44.0,46.0,51.0,57.0,59.0,61.0,55.0,51.0,41.0,37.0,43.0,51.0,59.0,54.0,57.0,63.0,69.0,65.0,58.0,51.0,50.0,45.0,47.0,41.0,43.0,43.0,53.0,64.0,69.0,64.0,55.0
Stephenville,395129,39.0,41.0,48.0,51.0,58.0,53.0,50.0,42.0,40.0,33.0,35.0,38.0,45.0,52.0,55.0,58.0,59.0,60.0,51.0,48.0,38.0,39.0,42.0,51.0,54.0,48.0,50.0,61.0,75.0,71.0,65.0,56.0,51.0,44.0,37.0,39.0,44.0,59.0,64.0,76.0,79.0,81.0,69.0
Bay City,394370,23.0,30.0,30.0,34.0,32.0,29.0,22.0,23.0,25.0,24.0,26.0,25.0,35.0,43.0,50.0,47.0,41.0,42.0,38.0,38.0,34.0,34.0,34.0,35.0,39.0,34.0,36.0,39.0,44.0,42.0,43.0,43.0,44.0,35.0,38.0,36.0,46.0,46.0,56.0,56.0,53.0,48.0,43.0
Plainview,394984,4.0,5.0,7.0,10.0,12.0,13.0,9.0,8.0,6.0,7.0,9.0,9.0,10.0,9.0,10.0,12.0,13.0,12.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,11.0,11.0,11.0,13.0,19.0,18.0,16.0,13.0,17.0,18.0,17.0,16.0,18.0,19.0,18.0,16.0,20.0,26.0
Big Spring,394385,27.0,33.0,42.0,44.0,44.0,41.0,37.0,32.0,31.0,28.0,30.0,31.0,34.0,36.0,45.0,49.0,51.0,42.0,43.0,41.0,45.0,41.0,45.0,40.0,44.0,36.0,40.0,36.0,41.0,42.0,45.0,42.0,38.0,32.0,30.0,33.0,46.0,53.0,63.0,59.0,59.0,54.0,54.0
Sulphur Springs,395137,24.0,28.0,40.0,42.0,43.0,33.0,29.0,31.0,30.0,30.0,23.0,23.0,28.0,29.0,28.0,29.0,30.0,34.0,33.0,33.0,30.0,27.0,28.0,31.0,34.0,35.0,32.0,32.0,35.0,37.0,36.0,33.0,29.0,25.0,22.0,21.0,22.0,25.0,30.0,35.0,39.0,41.0,37.0
Brenham,394413,38.0,43.0,50.0,46.0,47.0,46.0,41.0,36.0,33.0,31.0,34.0,34.0,49.0,55.0,62.0,60.0,67.0,69.0,65.0,52.0,45.0,39.0,43.0,44.0,54.0,50.0,53.0,51.0,59.0,60.0,62.0,58.0,51.0,41.0,34.0,42.0,50.0,52.0,48.0,51.0,58.0,67.0,61.0
Kingsville,394749,6.0,7.0,6.0,7.0,10.0,12.0,12.0,12.0,11.0,12.0,11.0,11.0,14.0,14.0,14.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,13.0,18.0,22.0,20.0,19.0,20.0,21.0,24.0,23.0,29.0,28.0,30.0,28.0,26.0,28.0,26.0,29.0,32.0,34.0,34.0,30.0
Mount Pleasant,394886,16.0,17.0,21.0,20.0,18.0,14.0,15.0,15.0,14.0,9.0,7.0,4.0,6.0,7.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,7.0,9.0,9.0,13.0,18.0,27.0,30.0,32.0,24.0,22.0,16.0,17.0,16.0,14.0,14.0,16.0,22.0,27.0,27.0,28.0,33.0,33.0
Mineral Wells,394864,52.0,57.0,59.0,48.0,47.0,41.0,41.0,33.0,30.0,23.0,32.0,34.0,47.0,51.0,57.0,55.0,50.0,48.0,42.0,37.0,32.0,32.0,41.0,55.0,73.0,68.0,72.0,63.0,76.0,74.0,73.0,60.0,48.0,40.0,45.0,44.0,54.0,52.0,58.0,60.0,59.0,63.0,61.0
Fredericksburg,394615,19.0,21.0,20.0,22.0,23.0,23.0,23.0,22.0,18.0,16.0,14.0,15.0,17.0,19.0,23.0,27.0,29.0,26.0,20.0,19.0,19.0,19.0,19.0,19.0,24.0,22.0,22.0,22.0,29.0,35.0,40.0,50.0,55.0,54.0,44.0,36.0,37.0,42.0,51.0,54.0,54.0,52.0,43.0
Levelland,394784,13.0,14.0,18.0,20.0,19.0,18.0,17.0,17.0,15.0,12.0,12.0,13.0,18.0,19.0,18.0,19.0,23.0,27.0,26.0,22.0,19.0,14.0,15.0,16.0,16.0,15.0,14.0,15.0,16.0,15.0,13.0,15.0,14.0,15.0,11.0,12.0,13.0,13.0,15.0,21.0,28.0,31.0,26.0
Pampa,394959,10.0,10.0,9.0,10.0,12.0,12.0,11.0,12.0,10.0,9.0,9.0,11.0,13.0,11.0,10.0,11.0,11.0,9.0,9.0,7.0,8.0,6.0,9.0,9.0,11.0,10.0,12.0,17.0,16.0,16.0,13.0,15.0,15.0,15.0,15.0,14.0,17.0,19.0,22.0,24.0,25.0,30.0,28.0
Borger,394403,16.0,18.0,21.0,24.0,26.0,23.0,21.0,20.0,18.0,14.0,13.0,17.0,22.0,25.0,25.0,25.0,28.0,28.0,28.0,25.0,22.0,18.0,16.0,18.0,22.0,25.0,24.0,27.0,30.0,31.0,27.0,24.0,22.0,21.0,19.0,19.0,20.0,24.0,25.0,26.0,24.0,28.0,29.0
Raymondville,395014,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,8.0,8.0,9.0,8.0,7.0,6.0,7.0,6.0,7.0,4.0,7.0,8.0,9.0
Port Lavaca,753914,14.0,14.0,17.0,14.0,13.0,11.0,11.0,10.0,9.0,9.0,11.0,11.0,15.0,15.0,18.0,17.0,20.0,20.0,18.0,16.0,15.0,15.0,16.0,19.0,21.0,19.0,20.0,22.0,25.0,24.0,21.0,22.0,23.0,22.0,23.0,19.0,23.0,28.0,38.0,39.0,40.0,38.0,39.0
Snyder,395104,16.0,18.0,15.0,15.0,16.0,23.0,23.0,20.0,14.0,13.0,11.0,13.0,16.0,20.0,21.0,23.0,23.0,20.0,17.0,16.0,15.0,13.0,15.0,18.0,22.0,19.0,16.0,13.0,15.0,14.0,16.0,13.0,14.0,13.0,13.0,11.0,12.0,15.0,19.0,19.0,20.0,22.0,21.0
Sweetwater,395142,4.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,6.0,6.0,6.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,6.0,4.0,5.0,8.0,8.0,12.0,7.0,9.0,7.0,7.0,10.0,14.0,17.0,17.0,16.0,15.0,14.0
