cityid,regionname,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021
1,"New York, NY",404416,414097,419020,448065,492570
2,"Los Angeles-Long Beach-Anaheim, CA",605312,640611,646689,699588,778865
3,"Chicago, IL",228044,233166,238503,255368,274527
4,"Dallas-Fort Worth, TX",252901,263851,269364,289596,326257
5,"Philadelphia, PA",234019,239058,247939,270493,283647
6,"Houston, TX",226490,234156,241990,257808,287089
7,"Washington, DC",391382,403872,411358,440161,466761
8,"Miami-Fort Lauderdale, FL",265133,278487,288636,318319,346602
9,"Atlanta, GA",221463,239616,252163,275654,307716
10,"Boston, MA",418206,445574,456522,503397,551705
11,"San Francisco, CA",745763,807027,804517,857236,973112
12,"Detroit, MI",174355,180620,188323,205995,221139
13,"Riverside, CA",343229,367311,373664,411895,464820
14,"Phoenix, AZ",251739,271058,283237,316432,369781
15,"Seattle, WA",431635,470660,487901,540855,609602
16,"Minneapolis-St Paul, MN",243561,260892,275010,300425,325827
17,"San Diego, CA",539222,579069,582358,629125,706588
18,"St. Louis, MO",174162,179412,187863,204577,214856
19,"Tampa, FL",205567,220673,229793,253525,281793
20,"Baltimore, MD",282271,290705,300245,310426,317042
21,"Denver, CO",383893,414716,421431,451843,506362
22,"Pittsburgh, PA",159540,165700,173700,186213,200472
23,"Portland, OR",363580,387442,396349,427713,474275
24,"Charlotte, NC",231319,248445,261894,286534,314256
25,"Sacramento, CA",379784,403131,414523,453631,508870
26,"San Antonio, TX",211126,222751,228203,246564,269148
27,"Orlando, FL",237270,251973,264437,279776,303793
28,"Cincinnati, OH",166735,175372,183612,203549,218480
29,"Cleveland, OH",140225,142505,150336,166095,175257
30,"Kansas City, MO",198875,211375,221144,244806,263798
31,"Las Vegas, NV",255524,287564,298317,316556,343736
32,"Columbus, OH",184890,198904,208656,229409,246659
33,"Indianapolis, IN",165209,178686,190717,217152,236436
34,"San Jose, CA",928986,1089757,1032880,1114256,1238594
35,"Austin, TX",294855,307967,315893,347015,435538
36,"Virginia Beach, VA",240480,244595,250776,269150,281968
37,"Nashville, TN",259225,279012,293664,315959,348882
38,"Providence, RI",258219,269537,283801,315720,339456
39,"Milwaukee, WI",194819,204688,204433,216337,226423
40,"Jacksonville, FL",222652,241093,248472,266553,291632
41,"Memphis, TN",165344,172707,183139,208062,223611
42,"Oklahoma City, OK",165541,170755,184578,201416,213926
43,"Louisville-Jefferson County, KY",171982,180600,190535,207523,219546
44,"Hartford, CT",220061,224762,224477,244290,262471
45,"Richmond, VA",236956,246225,257004,276385,296861
46,"New Orleans, LA",188476,196339,207999,224824,237622
47,"Buffalo, NY",145324,153047,161160,177086,190906
48,"Raleigh, NC",264117,279065,290569,310543,341686
49,"Birmingham, AL",184685,194672,204705,223369,238117
50,"Salt Lake City, UT",286976,312643,329480,370287,432459
51,"Rochester, NY",139667,146090,151504,165980,177797
52,"Grand Rapids, MI",175893,190822,204628,227293,250319
53,"Tucson, AZ",199111,210152,222407,246109,282932
54,"Urban Honolulu, HI",579591,571281,587188,612388,633715
55,"Tulsa, OK",159699,164856,170479,194112,209638
56,"Fresno, CA",257145,272388,282234,309611,338670
57,"Worcester, MA",254664,264108,272652,306991,334623
58,"Stamford, CT",406493,403193,395352,449934,506654
59,"Albuquerque, NM",189890,197867,212634,237958,267526
60,"Albany, NY",183179,193054,196771,212893,224891
61,"Omaha, NE",174652,187489,196658,215248,238110
62,"New Haven, CT",213239,221572,223877,241694,265857
63,"Bakersfield, CA",223055,233194,243574,264884,288058
64,"Knoxville, TN",174068,191195,204379,229997,248018
65,"Greenville, SC",186456,197683,210575,227435,243341
66,"Ventura, CA",568114,592958,592382,643493,716592
67,"Allentown, PA",181727,191326,198460,221587,237885
68,"El Paso, TX",150504,155478,161937,175243,188544
69,"Baton Rouge, LA",192437,201893,206632,220515,230965
70,"Dayton, OH",130833,137172,141706,157095,165342
71,"McAllen, TX",137808,143275,150829,167322,182044
72,"Columbia, SC",164328,172882,181718,195957,213321
73,"Greensboro, NC",149972,157793,163843,180208,179956
74,"Akron, OH",139189,141335,148689,162611,163399
75,"North Port-Sarasota-Bradenton, FL",264422,271118,278776,295359,337085
76,"Little Rock, AR",163227,161650,167284,181469,193413
77,"Stockton, CA",353824,384132,396749,442513,482439
78,"Charleston, SC",259832,273328,282008,306042,341061
79,"Syracuse, NY",131557,137793,144097,158166,164077
80,"Colorado Springs, CO",279306,306005,319604,362324,410242
81,"Winston-Salem, NC",150875,160173,170822,191236,185654
82,"Wichita, KS",142530,146229,153986,169213,190451
83,"Springfield, MA",203700,213072,218242,237747,256535
84,"Fort Myers, FL",219948,230254,234467,247717,253495
85,"Boise City, ID",235170,272516,292438,349229,433666
86,"Toledo, OH",118095,121028,127724,138511,145436
87,"Madison, WI",245237,258761,267449,290239,316988
88,"Lakeland, FL",175751,191817,204750,221507,243558
89,"Ogden, UT",238256,263853,281973,324646,376632
90,"Daytona Beach, FL",186527,206338,219387,237567,265778
91,"Des Moines, IA",190244,202523,211494,227195,242528
100,"Provo, UT",272914,300699,317779,357802,421636
104,"Durham, NC",255641,274868,284250,305591,338338
159,"Fort Collins, CO",353237,381585,387414,408106,443385
